#Healing Hut Decisions
hhn_teach_healing;Teach Healing;;;;;;;;;;;x;;
hhn_learn_healing;Request to Learn Healing;;;;;;;;;;;x;;

#Targetted Decisions
hhn_teach_healing;Teach Healing;;;;;;;;;;;x;;
hhn_learn_healing;Request to Learn Healing;;;;;;;;;;;x;;
hhn_teach_healing_power_desc;Teach Healing to another member;;;;;;;;;;;x;;
hhn_learn_healing_power_desc;Learn Healing from another member;;;;;;;;;;;x;;
hhn_teach_healing_desc;Teach Healing to [Root.GetFullName];;;;;;;;;;;x;;
hhn_learn_healing_desc;Learn Healing from [Root.GetFullName];;;;;;;;;;;x;;


#Society
healing_hut_north;The Healing Hut;;;;;;;;;;;x;;
healing_hut_north_desc;A Society of Northern Water Tribe women who practice and teach the art of healing.;;;;;;;;;;;x;;
currency_name_healing_hut_north;Chi;;;;;;;;;;;x;;

healing_hut_north_rank_1_male;Novice;;;;;;;;;;;x;;
healing_hut_north_rank_2_male;Healer;;;;;;;;;;;x;;
healing_hut_north_rank_3_male;Mentor;;;;;;;;;;;x;;
healing_hut_north_rank_4_male;Grand Patron;;;;;;;;;;;x;;
healing_hut_north_rank_1_female;Novice;;;;;;;;;;;x;;
healing_hut_north_rank_2_female;Healer;;;;;;;;;;;x;;
healing_hut_north_rank_3_female;Mentor;;;;;;;;;;;x;;
healing_hut_north_rank_4_female;Grand Matron;;;;;;;;;;;x;;

found_healing_hut_north;Your time here has made you a master bender.;;;;;;;;;;;x;;
found_healing_hut_north_decision;Found Healing Hut;;;;;;;;;;;x;;

#events
EVTDESC_MNM_4454;After Hours of meditation you stare into the pool and see the two fish swimming in perfect balance. Push and Pull. Life and Death. Tui and La. You understand...Chi...It's the lifeforce that rules everything. You can control chi and heal people.;;;;;;;;;;;x;;
EVTOPT_MNHHN_4454;You can control chi and heal people.;;;;;;;;;;;x;;
MNHHN_4454_TITLE;You visit the Spirit Oasis;;;;;;;;;;;x;;
EVTDESC_MNHHN_5064;It seems [FromFrom.GetFullName] has taken a special interest in the study of Chi Paths and Healing, personally attending your practices to get pointers.;;;;;;;;;;;x;;
EVTOPTA_MNHHN_5064;Overall, you feel they have learned a great deal from this.;;;;;;;;;;;;x;;
EVTDESC_MNHHN_5065;You've taken the opportunity to get healing lessons from [From.GetFullName], just between the two of you, and you are happy with the results. You've made noticeable progress.;;;;;;;;;;;;x;;
EVTOPTA_MNHHN_5065;The results are impressive.;;;;;;;;;;;;x;;
